Passive_Agent_Net_Worth,	 Passive_Agent_Shares,	active_0Net_Worth,	 active_0Shares,	 active_1Net_Worth,	 active_1Shares,	 active_2Net_Worth,	 active_2Shares,	 active_3Net_Worth,	 active_3Shares,	 active_4Net_Worth,	 active_4Shares,	 active_5Net_Worth,	 active_5Shares,	 active_6Net_Worth,	 active_6Shares,	 active_7Net_Worth,	 active_7Shares,	 active_8Net_Worth,	 active_8Shares,	 active_9Net_Worth,	 active_9Shares,	 active_10Net_Worth,	 active_10Shares,	 active_11Net_Worth,	 active_11Shares,	 active_12Net_Worth,	 active_12Shares,	 active_13Net_Worth,	 active_13Shares,	 active_14Net_Worth,	 active_14Shares,	 active_15Net_Worth,	 active_15Shares,	 active_16Net_Worth,	 active_16Shares,	 active_17Net_Worth,	 active_17Shares,	 active_18Net_Worth,	 active_18Shares,	 active_19Net_Worth,	 active_19Shares,	 
100377.8087742148,	 56,	 99938.98965539038,	 44,	 100208.9119259904,	 54,	 99941.23331347365,	 55,	 100098.50637107309,	 51,	 100253.86167066096,	 55,	 99918.12386464106,	 16,	 100194.41996944789,	 56,	 100138.15814057074,	 53,	 100084.88628867229,	 46,	 100154.04266339498,	 54,	 100038.74810070946,	 47,	 100123.44753626338,	 47,	 100085.00350227948,	 35,	 100104.85285313844,	 39,	 100106.10548832949,	 40,	 100061.15142382491,	 51,	 100178.79845131373,	 50,	 100031.7426600267,	 49,	 100252.20020501564,	 53,	 100251.87074152478,	 54,	 
100222.94474501099,	 56,	 99865.03598347017,	 52,	 100842.11671249071,	 54,	 100827.71729356787,	 56,	 100277.9649173576,	 55,	 101874.74286365765,	 55,	 100463.41756389671,	 25,	 101141.25495024405,	 56,	 99682.73518814384,	 55,	 101510.51923250339,	 50,	 100118.45239467498,	 56,	 99997.71567007872,	 53,	 100628.04346484173,	 51,	 100466.69778829286,	 41,	 100562.8557489265,	 54,	 100331.05078078315,	 54,	 99969.06998843755,	 53,	 100389.54062905406,	 55,	 101073.98902432261,	 54,	 100061.77931823359,	 54,	 100191.46356825533,	 55,	 
101760.61912011128,	 56,	 101398.74330867418,	 53,	 101518.10342945883,	 55,	 101685.51604045539,	 56,	 101386.39662065526,	 55,	 101677.0745161662,	 55,	 100295.475459149,	 28,	 101862.04167192157,	 56,	 101580.08676728263,	 55,	 101442.00279605467,	 55,	 101745.02626174752,	 56,	 101395.88706868417,	 55,	 101486.07223555625,	 55,	 101032.26003150496,	 41,	 101217.70598060438,	 55,	 101439.92972281335,	 55,	 101622.54027186669,	 55,	 101597.94577120265,	 55,	 101323.68489982188,	 55,	 101574.32959813222,	 56,	 101819.22885418402,	 55,	 
102375.0767032306,	 56,	 101891.23345389226,	 53,	 102082.19500348241,	 55,	 101942.90596664451,	 56,	 102180.58066403726,	 55,	 101955.41782230709,	 55,	 100475.5108374897,	 49,	 102086.6527857974,	 56,	 102117.18758480817,	 55,	 101690.18664537702,	 55,	 102236.509255009,	 56,	 101798.56647244976,	 56,	 102072.35395273288,	 55,	 101351.55420958553,	 54,	 101891.95115004883,	 55,	 101804.62702340094,	 55,	 102197.32476655085,	 55,	 101976.55984311161,	 55,	 101750.21857611224,	 55,	 102128.77685483599,	 56,	 102188.36262438557,	 55,	 
102910.16545605112,	 56,	 102381.1527040008,	 54,	 102566.18834830531,	 56,	 102563.3085635406,	 56,	 102650.83867110778,	 56,	 102680.48982697818,	 55,	 101006.66733026259,	 54,	 102782.88649485998,	 56,	 102667.36902763387,	 55,	 102437.39898323218,	 55,	 102801.15677872147,	 56,	 102512.55116059535,	 56,	 102632.07454024532,	 56,	 102004.52843291969,	 55,	 102383.79899056573,	 55,	 102509.36247177901,	 56,	 102576.22964976137,	 55,	 102582.69979860808,	 55,	 102479.3342465458,	 55,	 102717.02643187664,	 56,	 102791.20927049077,	 55,	 
103181.07707123407,	 56,	 102560.40257987514,	 55,	 102987.34211054648,	 56,	 103018.84557403428,	 56,	 103081.54025684317,	 56,	 103130.88179927997,	 56,	 101246.03933979325,	 54,	 103309.86401844225,	 56,	 102822.01368131874,	 55,	 102761.13726185297,	 55,	 102931.99779399259,	 56,	 102829.49631813346,	 56,	 102740.63291960198,	 56,	 102260.42666471323,	 55,	 102771.51145401047,	 55,	 102841.8463003931,	 56,	 102779.45762441008,	 55,	 102952.97941694723,	 55,	 102998.3335146851,	 55,	 102987.48727134966,	 56,	 102952.55636120208,	 55,	 
103654.39054808592,	 56,	 103080.96079543109,	 55,	 103340.65262356814,	 56,	 103362.93177252602,	 56,	 103462.80103575901,	 56,	 103346.66760048315,	 56,	 101661.17445338336,	 54,	 103559.54056174606,	 56,	 103430.15279420197,	 55,	 103291.60922005566,	 55,	 103490.18244686082,	 56,	 103185.72117904725,	 56,	 103079.95716938282,	 56,	 102790.35076801461,	 55,	 103042.26427868585,	 55,	 103342.33109557947,	 56,	 103294.27329959998,	 55,	 103319.2109439011,	 55,	 103112.7905806526,	 55,	 103499.11403182664,	 56,	 103355.58444245179,	 56,	 
103747.92329237744,	 56,	 103105.84659511311,	 55,	 103554.49810593388,	 56,	 103446.7949876023,	 56,	 103458.03825853913,	 56,	 103602.36073124802,	 56,	 101872.39854523863,	 54,	 103737.78860261942,	 56,	 103484.66778781592,	 55,	 103315.50364343826,	 55,	 103531.56272966672,	 56,	 103293.23410497862,	 56,	 103366.77702666727,	 56,	 102815.54379279786,	 55,	 103155.07515729693,	 55,	 103287.45199606201,	 56,	 103387.38970575805,	 56,	 103430.73718036877,	 55,	 103411.17036951415,	 55,	 103542.88818257794,	 56,	 103547.18367360577,	 56,	 
103702.7537645147,	 56,	 103130.71111931698,	 55,	 103483.87921321325,	 56,	 103365.56801188737,	 56,	 103390.36198729073,	 56,	 103528.65555167627,	 56,	 101891.53138900742,	 54,	 103684.26679648983,	 56,	 103409.26463469332,	 55,	 103305.65954413674,	 55,	 103540.23728186298,	 56,	 103297.90179385032,	 56,	 103318.35382190369,	 56,	 102828.95573513457,	 55,	 103202.61440022968,	 55,	 103252.09254120469,	 56,	 103354.7475700087,	 56,	 103361.68893294135,	 56,	 103382.49209799571,	 55,	 103493.9953884286,	 56,	 103542.06245571631,	 56,	 
103851.85255487476,	 56,	 103473.59068610339,	 55,	 103700.81578588615,	 56,	 103815.58412555994,	 56,	 103797.98842210526,	 56,	 103913.91563065711,	 56,	 102057.45000437024,	 54,	 104058.0473292178,	 56,	 103567.42907500938,	 55,	 103567.76361275969,	 55,	 103716.40522249132,	 56,	 103435.00076716901,	 56,	 103480.4158176554,	 56,	 103220.37993076512,	 55,	 103466.81266582203,	 55,	 103449.11058549208,	 56,	 103733.67887682369,	 56,	 103717.92911121485,	 56,	 103692.65928410825,	 56,	 104014.33745784608,	 56,	 103643.03908555335,	 56,	 
