Date,Open,High,Low,Close,AdjClose,Volume
2008-11-03,18.344999,18.570000,17.655001,18.075001,13.777630,357200
2008-11-04,18.320000,18.780001,17.825001,18.440001,14.055853,430600
2008-11-05,18.200001,18.480000,16.879999,17.184999,13.099230,354800
2008-11-06,16.920000,17.834999,16.775000,16.840000,12.836252,245800
2008-11-07,17.020000,17.309999,16.799999,17.309999,13.194510,169200
2008-11-10,17.754999,17.820000,16.469999,16.684999,12.836763,274000
2008-11-11,16.510000,18.540001,16.510000,17.375000,13.367623,527000
2008-11-12,17.070000,17.315001,16.650000,16.980000,13.063720,505400
2008-11-13,17.059999,18.915001,16.264999,18.915001,14.552433,586600
2008-11-14,18.320000,18.900000,17.625000,18.000000,13.848473,827200
2008-11-17,17.790001,18.485001,17.309999,17.875000,13.752300,459600
2008-11-18,18.000000,18.000000,16.510000,17.645000,13.575349,893400
2008-11-19,17.440001,18.055000,15.395000,15.580000,11.986620,797000
2008-11-20,15.420000,16.240000,14.670000,15.915000,12.244357,395400
2008-11-21,15.950000,17.410000,14.755000,17.410000,13.394547,763600
2008-11-24,17.459999,17.485001,14.800000,15.420000,11.863522,1312800
2008-11-25,15.645000,15.690000,13.035000,14.920000,11.478840,1324400
2008-11-26,14.610000,15.985000,14.395000,15.900000,12.232816,546600
2008-11-28,15.635000,15.890000,15.125000,15.775000,12.136642,111000
2008-12-01,15.410000,15.575000,14.335000,14.465000,11.128783,612400
2008-12-02,14.870000,16.735001,14.205000,16.660000,12.817525,841400
2008-12-03,16.250000,17.205000,16.020000,16.455000,12.659809,598000
2008-12-04,16.170000,17.230000,15.805000,16.684999,12.836763,513200
2008-12-05,16.440001,17.725000,15.700000,17.645000,13.575349,419800
2008-12-08,17.719999,18.500000,17.680000,18.375000,14.136981,519200
2008-12-09,18.120001,18.870001,17.459999,17.549999,13.502254,715800
2008-12-10,17.799999,18.740000,17.285000,18.350000,14.117746,653600
2008-12-11,18.135000,18.135000,16.635000,16.955000,13.044489,593400
2008-12-12,16.620001,17.309999,16.320000,17.270000,13.286838,583200
2008-12-15,17.440001,17.715000,16.270000,16.555000,12.736746,774000
2008-12-16,16.820000,17.815001,16.434999,17.780001,13.679210,624200
2008-12-17,17.530001,18.475000,17.504999,18.125000,13.944638,544400
2008-12-18,18.475000,18.575001,17.584999,17.934999,13.798460,705600
2008-12-19,18.405001,18.405001,17.650000,17.900000,13.771537,496600
2008-12-22,18.115000,18.115000,16.450001,17.250000,13.271445,364800
2008-12-23,17.490000,17.490000,16.080000,16.620001,12.786753,340200
2008-12-24,16.555000,16.915001,16.389999,16.715000,12.859842,80400
2008-12-26,16.815001,17.295000,16.815001,17.230000,13.256062,90400
2008-12-29,17.065001,17.280001,16.584999,16.905001,13.006021,354800
2008-12-30,17.174999,17.615000,17.080000,17.450001,13.425323,171800
2008-12-31,17.430000,18.115000,17.430000,17.684999,13.606117,323000
2009-01-02,17.709999,18.090000,17.650000,17.965000,13.821542,563000
2009-01-05,18.020000,18.139999,17.325001,17.455000,13.429169,354000
2009-01-06,17.690001,17.985001,17.260000,17.795000,13.690752,283400
2009-01-07,17.559999,17.764999,16.805000,17.260000,13.279141,249600
2009-01-08,16.910000,17.264999,16.690001,16.950001,13.040643,344200
2009-01-09,16.815001,16.844999,16.180000,16.260000,12.509785,289000
2009-01-12,16.389999,16.514999,15.895000,16.299999,12.540556,354400
2009-01-13,16.215000,16.705000,15.910000,16.200001,12.463624,459800
2009-01-14,15.840000,16.055000,15.460000,15.795000,12.152035,476000
2009-01-15,15.750000,16.705000,15.270000,16.605000,12.775212,566200
2009-01-16,16.709999,16.840000,16.280001,16.725000,12.867538,358600
2009-01-20,16.440001,16.674999,15.485000,15.570000,11.978924,398400
2009-01-21,15.500000,16.090000,15.080000,16.004999,12.313597,241800
2009-01-22,15.880000,16.309999,15.445000,16.110001,12.394381,342200
2009-01-23,15.905000,16.205000,15.285000,15.605000,12.005854,354000
2009-01-26,15.675000,16.080000,15.470000,15.745000,12.113564,318000
2009-01-27,15.745000,15.905000,15.375000,15.595000,11.998163,446200
2009-01-28,15.865000,16.770000,15.700000,16.709999,12.855994,361200
2009-01-29,16.490000,16.559999,15.905000,16.030001,12.332832,802400
2009-01-30,14.500000,14.850000,14.115000,14.360000,11.047998,1564200
2009-02-02,14.320000,14.800000,14.055000,14.745000,11.344205,663200
2009-02-03,14.680000,15.060000,14.675000,14.745000,11.344205,706000
2009-02-04,14.825000,14.885000,14.580000,14.790000,11.378824,598800
2009-02-05,14.685000,15.370000,14.660000,15.285000,11.759661,583000
2009-02-06,15.240000,16.150000,15.130000,15.665000,12.052014,540400
2009-02-09,15.590000,15.590000,15.030000,15.165000,11.667337,280800
2009-02-10,15.125000,15.390000,14.575000,14.805000,11.390364,380600
2009-02-11,14.755000,15.075000,14.660000,14.895000,11.459607,351000
2009-02-12,15.075000,15.175000,14.595000,15.055000,11.582705,486600
2009-02-13,15.020000,15.190000,14.725000,14.855000,11.428834,278000
2009-02-17,14.420000,14.990000,14.190000,14.735000,11.459943,220200
2009-02-18,14.790000,14.815000,14.425000,14.505000,11.281065,322600
2009-02-19,14.685000,14.890000,14.485000,14.600000,11.354948,236800
2009-02-20,14.345000,15.155000,14.255000,14.860000,11.557161,457800
2009-02-23,14.925000,14.945000,14.250000,14.350000,11.160518,300800
2009-02-24,14.165000,14.645000,13.875000,14.565000,11.327727,762400
2009-02-25,14.500000,14.800000,14.270000,14.540000,11.308284,381600
2009-02-26,14.725000,14.725000,13.690000,13.740000,10.686094,380000
2009-02-27,13.595000,14.015000,13.430000,13.560000,10.546103,588600
2009-03-02,13.410000,13.560000,13.095000,13.100000,10.188346,301200
2009-03-03,13.225000,13.225000,12.515000,12.610000,9.807252,812000
2009-03-04,12.770000,13.405000,12.760000,13.135000,10.215564,349600
2009-03-05,12.900000,13.315000,12.665000,12.735000,9.904470,710200
2009-03-06,12.800000,13.060000,12.655000,12.865000,10.005575,288400
2009-03-09,12.810000,13.010000,12.315000,12.645000,9.834478,409200
2009-03-10,12.855000,13.680000,12.480000,13.410000,10.429443,472600
2009-03-11,13.475000,13.630000,13.255000,13.430000,10.444998,246800
2009-03-12,13.415000,14.840000,13.160000,14.485000,11.265511,596000
2009-03-13,14.500000,14.795000,14.290000,14.665000,11.405500,137400
2009-03-16,14.685000,14.685000,14.085000,14.140000,10.997189,358400
2009-03-17,14.090000,14.320000,13.945000,14.290000,11.113852,508200
2009-03-18,14.355000,15.105000,14.090000,15.055000,11.708819,508600
2009-03-19,15.185000,15.430000,14.905000,15.380000,11.961586,292200
2009-03-20,15.455000,15.625000,14.815000,14.965000,11.638821,266000
2009-03-23,15.280000,15.565000,14.870000,15.565000,12.105461,391800
2009-03-24,15.330000,15.690000,15.015000,15.110000,11.751593,245600
2009-03-25,15.115000,15.790000,14.745000,15.295000,11.895473,358600
2009-03-26,15.340000,15.765000,15.100000,15.610000,12.140461,457400
2009-03-27,15.240000,15.405000,14.970000,15.140000,11.774926,367600
2009-03-30,15.000000,15.130000,14.505000,14.995000,11.662157,286600
2009-03-31,15.115000,15.485000,14.820000,14.960000,11.634937,408200
2009-04-01,14.795000,15.780000,14.655000,15.265000,11.872145,640400
2009-04-02,15.620000,16.650000,15.345000,16.405001,12.758761,617800
2009-04-03,16.485001,16.645000,16.139999,16.520000,12.848204,341000
2009-04-06,16.280001,16.410000,15.650000,16.110001,12.529332,449000
2009-04-07,15.930000,16.165001,15.485000,15.635000,12.159906,384800
2009-04-08,15.705000,16.215000,15.665000,15.955000,12.408782,259400
2009-04-09,16.230000,16.900000,16.150000,16.670000,12.964862,339000
2009-04-13,16.520000,17.000000,16.420000,16.959999,13.190407,245600
2009-04-14,16.695000,16.995001,16.280001,16.754999,13.030971,437600
2009-04-15,16.700001,17.030001,16.334999,16.770000,13.042639,614600
